,Pin,Address,City,Township,Property Classification,Square Footage (Land),Neighborhood,Taxcode,Next Scheduled Reassessment,Description,Residence Type,Use,Exterior Construction,Full Baths,Half Baths,Basement1,Attic,Central Air,Number of Fireplaces,Garage,Age,Building Square Footage,Assessment Phase,Homeowner_2021,Senior_2021,Senior Freeze_2021,Homeowner_2020,Senior_2020,Senior Freeze_2020,Homeowner_2019,Senior_2019,Senior Freeze_2019,Homeowner_2018,Senior_2018,Senior Freeze_2018,Apartments,Risk,Property Value,Bill Returned,Prior Possibly Unpaid,Tax Due
2,20-09-308-019-0000,5253 S HALSTED ST,CHICAGO,Lake,212,3125,92,72102,2024,"Two to six apartments, up to 62 years",Two Story,Multi Family,Masonry,4,1,Partial and Unfinished,Full and Unfinished,No,0,None,122,2812,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,4,moderate,138660,Yes,Yes,3202.13
3,20-09-317-006-0000,5311 S EMERALD AVE,CHICAGO,Lake,211,3150,92,72102,2024,"Two to six apartments, over 62 years",One Story,Multi Family,Frame,2,0,Full and Apartment,Full and Living Area,No,0,2 car detached,135,1386,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,118890,Yes,Yes,2745.67
4,20-16-101-026-0000,5623 S EMERALD AVE,CHICAGO,Lake,202,3125,92,72001,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,1 car detached,120,693,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,68480,No,Yes,1528.75
5,20-16-102-033-0000,5611 S UNION AVE,CHICAGO,Lake,241,3125,92,72001,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,20310,No,Yes,408.03
6,20-16-113-011-0000,5723 S EMERALD AVE,CHICAGO,Lake,211,3025,92,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,1,0,None,None,No,0,None,120,1280,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,moderate,77620,Yes,Yes,1103.57
7,20-16-114-009-0000,5721 S UNION AVE,CHICAGO,Lake,203,3125,92,72001,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,1,0,Full and Unfinished,Full and Unfinished,No,0,None,127,1035,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,moderate,76130,Yes,Yes,1010.49
8,20-16-114-038-0000,5734 S LOWE AVE,CHICAGO,Lake,234,3125,92,72001,2024,"Split level residence with a lower level below grade, all ages, all sizes",Multi-Level,Single Family,Frame/Masonry,1,1,Partial and Rec Room,None,No,0,None,46,950,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,92290,No,Yes,2060.39
9,20-16-122-011-0000,5833 S UNION AVE,CHICAGO,Lake,202,3500,92,72001,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,Full and Living Area,No,0,1 car detached,138,774,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,66660,No,Yes,1488.17
10,20-16-122-015-0000,5845 S UNION AVE,CHICAGO,Lake,211,3250,92,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,None,No,1,2 car detached,130,1680,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,90350,No,Yes,2086.5
11,20-16-309-008-0000,641 W 60TH ST,CHICAGO,Lake,211,4399,130,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,None,No,1,1 car detached,130,1830,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,54950,No,No,1254.67
12,20-16-313-039-1011,501 W 60TH PL P-2,CHICAGO,Lake,299,7871,92,72082,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,112,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5680,No,Yes,127.81
13,20-16-313-039-1015,503 W 60TH PL P-6,CHICAGO,Lake,299,7871,92,72082,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,112,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5680,Yes,Yes,127.81
14,20-16-317-008-0000,433 W 61ST ST,CHICAGO,Lake,241,4114,92,72082,2024,Vacant land under common ownership with adjacent residence,Condo,Condo,Other,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,26740,No,Yes,537.21
15,20-15-118-022-1041,5747 S CALUMET AVE P1,CHICAGO,Hyde Park,299,45108,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,19,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,4310,Yes,Yes,108.31
16,20-15-118-022-1045,5747 S CALUMET AVE P5,CHICAGO,Hyde Park,299,45108,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,19,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,4310,No,Yes,108.31
17,20-15-118-022-1055,5747 S CALUMET AVE P15,CHICAGO,Hyde Park,299,45108,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,19,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,4310,No,Yes,108.31
18,20-15-118-022-1076,5747 S CALUMET AVE P36,CHICAGO,Hyde Park,299,45108,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,19,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,4310,No,Yes,108.31
19,20-15-118-027-1011,5739 S CALUMET AVE P5,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
20,20-15-118-027-1016,5739 S CALUMET AVE P10,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
21,20-15-118-027-1017,5739 S CALUMET AVE P11,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
22,20-15-118-027-1019,5739 S CALUMET AVE P13,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
23,20-15-118-027-1020,5739 S CALUMET AVE P14,CHICAGO,Hyde Park,299,8323,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,5310,Yes,Yes,117.75
24,20-15-118-028-1028,370 E 58TH ST P-3,CHICAGO,Hyde Park,299,17493,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,108,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,9560,No,Yes,192.09
25,20-15-122-039-1002,5839 S INDIANA AVE 2,CHICAGO,Hyde Park,299,4075,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,11,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,32310,No,Yes,3131.44
26,20-15-122-039-1003,5839 S INDIANA AVE 3,CHICAGO,Hyde Park,299,4075,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,11,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,34890,No,Yes,3380.92
27,20-15-122-039-1004,5839 S INDIANA AVE 4,CHICAGO,Hyde Park,299,4075,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,11,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,40470,Yes,Yes,3921.58
28,20-15-124-036-1001,5845 S CALUMET AVE G,CHICAGO,Hyde Park,299,4448,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,10,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,102540,Yes,Yes,2271.7
29,20-15-124-036-1003,5845 S CALUMET AVE 2,CHICAGO,Hyde Park,299,4448,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,10,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,114800,Yes,Yes,2543.37
30,20-15-124-036-1004,5845 S CALUMET AVE 3,CHICAGO,Hyde Park,299,4448,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,10,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,118140,Yes,Yes,2617.3
31,20-16-320-001-0000,457 W 61ST PL 1,CHICAGO,Lake,206,6900,92,72082,2024,"Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,Frame,2,1,Full and Unfinished,Partial and Unfinished,No,0,None,120,4860,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,167500,Yes,Yes,3739.41
32,20-16-320-026-0000,6148 S STEWART AVE,CHICAGO,Lake,241,3600,92,72082,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,23400,No,Yes,470.1
33,20-15-314-006-0000,6125 S MICHIGAN AVE,CHICAGO,Hyde Park,203,5670,10,70102,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,3,0,Full and Rec Room,None,No,0,2 car detached,135,1116,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,167520,Yes,Yes,2121.02
34,20-22-104-028-0000,6630 S WABASH AVE 1,CHICAGO,Hyde Park,211,4125,30,70001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Rec Room,Full and Unfinished,No,1,2 car detached,125,2296,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,moderate,150740,Yes,Yes,2752.62
35,20-16-322-032-0000,6208 S NORMAL AVE,CHICAGO,Lake,241,2352,92,72082,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,15280,Yes,Yes,307.02
36,20-16-402-024-0000,322 W 60TH ST,CHICAGO,Lake,211,4750,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,3,0,Full and Apartment,None,No,0,None,130,3256,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,3,moderate,106400,Yes,Yes,1768.18
37,20-22-107-046-0000,6650 S INDIANA AVE,CHICAGO,Hyde Park,241,3125,30,70001,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,39060,No,Yes,784.77
38,20-22-107-048-0000,6656 S INDIANA AVE,CHICAGO,Hyde Park,241,3125,30,70001,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,39060,Yes,Yes,784.77
39,20-22-201-034-0000,6335 S VERNON AVE,CHICAGO,Hyde Park,210,2303,30,70063,2024,"Old style row house, over 62 years",Two Story,Single Family,Masonry,1,0,Full and Unfinished,None,No,1,None,73,932,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,114210,Yes,Yes,2549.78
40,20-22-210-017-0000,6441 S EBERHART AVE,CHICAGO,Hyde Park,211,3050,30,70063,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,3,0,Full and Apartment,Full and Living Area,No,0,None,126,1784,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,3,moderate,120200,Yes,Yes,2744.49
41,20-22-213-051-1001,6432 S LANGLEY AVE BSMT,CHICAGO,Hyde Park,299,4032,30,70063,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,81,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,103240,No,Yes,2299.81
42,20-16-407-014-0000,342 W 60TH PL,CHICAGO,Lake,211,3125,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,1,Partial and Rec Room,Full and Unfinished,No,0,1 car detached,125,1824,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,97030,Yes,Yes,2240.77
43,20-16-407-022-0000,316 W 60TH PL,CHICAGO,Lake,211,4891,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,None,None,No,0,None,135,2508,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,moderate,101320,Yes,Yes,1650.84
44,20-16-411-028-0000,6028 S LASALLE ST,CHICAGO,Lake,211,3168,92,72192,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,None,None,No,0,1 car detached,135,1806,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,91110,Yes,Yes,2104.14
45,20-22-220-036-0000,6542 S CHAMPLAIN AVE,CHICAGO,Hyde Park,211,2928,30,70063,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,None,105,2184,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,135900,No,Yes,3102.91
46,20-22-228-044-0000,604 E 67TH ST,CHICAGO,Hyde Park,202,988,30,70063,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,Partial and Unfinished,Partial and Unfinished,No,0,None,130,536,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,82080,No,Yes,1832.33
47,20-22-310-006-0000,6811 S PRAIRIE AVE,CHICAGO,Hyde Park,201,3125,30,70001,2024,Residential garage,Garage,Garage,Other,0,0,None,None,No,0,Residential,-1,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,42810,No,Yes,860.08
48,20-22-311-023-0000,6843 S CALUMET AVE,CHICAGO,Hyde Park,241,4450,30,70001,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,55620,No,Yes,1117.49
49,20-22-404-031-0000,6746 S LANGLEY AVE,CHICAGO,Hyde Park,211,3472,30,70083,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,None,No,0,1 car detached,130,1980,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,128760,Yes,Yes,2939.76
50,20-22-411-053-1003,6840 S LANGLEY AVE 3,CHICAGO,Hyde Park,299,3030,30,70083,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,115,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,145390,Yes,Yes,3238.51
51,20-17-207-024-0000,825 W GARFIELD BLVD REAR,CHICAGO,Lake,201,1000,91,72082,2024,Residential garage,Garage,Garage,Other,0,0,None,None,No,0,Residential,-1,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,7770,No,Yes,156.13
52,20-21-105-010-0000,6333 S PARNELL AVE 2,CHICAGO,Lake,211,3125,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,Full and Unfinished,No,0,2 car detached,136,1488,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,moderate,81620,Yes,Yes,1884.97
53,20-21-120-002-0000,6537 S PARNELL AVE,CHICAGO,Lake,211,3201,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,3,0,None,None,No,0,2 car detached,130,1640,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,3,moderate,82300,No,Yes,1211.61
54,20-21-121-002-0000,6515 S NORMAL AVE,CHICAGO,Lake,241,2448,92,72082,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,15910,No,Yes,319.63
55,20-07-220-020-0000,4957 S WOOD ST,CHICAGO,Lake,201,3000,51,72001,2024,Residential garage,Garage,Garage,Other,0,0,None,None,No,0,Residential,-1,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,31630,No,Yes,635.46
56,20-08-104-032-0000,4726 S ADA ST,CHICAGO,Lake,202,3000,51,72018,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,None,126,480,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,moderate,45750,No,Yes,343.88
57,20-08-108-044-1024,4807 S ASHLAND AVE G-8,CHICAGO,Lake,299,29237,51,72095,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,121,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,6220,No,Yes,161.97
58,20-08-109-036-0000,4828 S LAFLIN ST,CHICAGO,Lake,203,3125,51,72014,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame/Masonry,3,0,Full and Unfinished,Partial and Unfinished,No,0,2 car detached,130,1449,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,moderate,76720,Yes,Yes,1049.74
59,20-08-110-013-0000,4829 S LAFLIN ST,CHICAGO,Lake,100,3125,51,72014,2024,Vacant land,Vacant,Vacant,None,0,0,None,None,No,0,None,-1,1440,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,61150,No,Yes,1437.83
60,20-08-110-034-0000,4824 S BISHOP ST,CHICAGO,Lake,202,3125,51,72014,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,Partial and Unfinished,No,0,1.5 car detached,128,920,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,57350,Yes,Yes,1302.97
61,20-08-114-021-0000,4851 S THROOP ST,CHICAGO,Lake,241,3000,51,72001,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,28500,Yes,Yes,572.63
62,20-08-122-031-0000,1344 W 50TH ST,CHICAGO,Lake,201,2985,91,72001,2024,Residential garage,Garage,Garage,Other,0,0,None,None,No,0,Residential,-1,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,22130,No,Yes,444.61
63,20-08-125-008-0000,5017 S JUSTINE ST,CHICAGO,Lake,201,3000,91,72094,2024,Residential garage,Garage,Garage,Other,0,0,None,None,No,0,Residential,-1,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,22280,No,Yes,447.64
64,20-08-131-007-0000,5017 S ELIZABETH ST,CHICAGO,Lake,203,3125,91,72018,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame/Masonry,1,0,Full and Rec Room,Full and Unfinished,No,0,2 car detached,140,1056,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,56640,No,Yes,1278.78
